[2026-09-02T09:34:58.2912886Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:35:22.8537275Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:35:47.4854149Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:36:14.5703231Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:36:39.0905340Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:37:03.6264795Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:37:30.6220305Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:37:55.2130890Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:38:19.7256542Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:38:46.6680762Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:39:11.1874471Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:39:35.7735116Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:40:07.9171700Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:40:32.4830826Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:40:57.1145783Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:41:25.0061020Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:41:49.5431707Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:42:14.1288487Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:42:41.2206776Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:43:05.8178239Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:43:30.4685066Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:43:57.5869118Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:44:22.1206559Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:44:46.6857208Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:45:13.6832956Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:45:38.2372949Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:46:02.8275321Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:46:34.9872381Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:46:59.5393855Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:47:24.0509149Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:47:51.2670555Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
